what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1318489533114
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1318489534489
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1318489534645
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1318489534973
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1318489535223
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1318489535442
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1318489535880
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318489538208
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318489539911
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1318489542630
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1318489542630
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1318489543084
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1318489543084
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318489549116
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318489550741
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318489552272
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318489554554
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318489554585
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318489554663
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318489556445
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318489883531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318489891063
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318489897127
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1318489897189
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1318489897189
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318489901205
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318489904206
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318489904846
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318490322561
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318490326437
